,pair,investment_count,25m_rate,100m_rate,250m_rate,weighted_success_rate,scaled_success_rate,average_experience,average_success_rate,average_specific_diversity,average_broad_diversity,average_annualised_investment_count,success_bucket_pair,diversity_bucket_pair
"b08efc27-da40-505a-6f9d-c9e14247bf36,63d87b66-09d5-4ec0-af3c-0297ca03cb25","b08efc27-da40-505a-6f9d-c9e14247bf36,63d87b66-09d5-4ec0-af3c-0297ca03cb25",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0167100694444444,0.1802217183169564,0.09844415408439794,2.7777777777777777,"L5,L5","Universalist,Focused"
"9aa31be4-5ff2-30e8-34b5-612ee6437339,201d334c-4463-d56c-7737-435df78ae283","9aa31be4-5ff2-30e8-34b5-612ee6437339,201d334c-4463-d56c-7737-435df78ae283",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0125,0.0714739229024943,0.16655052264808357,0.5555555555555556,"L5,L5","Focused,Balanced"
"b577b6df-90f6-44f1-a001-b9283e38a4d4,85d2d83c-8489-447e-9841-78e03bda8ec7","b577b6df-90f6-44f1-a001-b9283e38a4d4,85d2d83c-8489-447e-9841-78e03bda8ec7",1,1.0,1.0,1.0,0.9375,0.46875,0.2727272727272727,0.5044642857142857,0.10897311305474565,0.24788451966152308,0.8333333333333334,"L5,L1","Specialized,Focused"
"e193dc05-a3f2-4693-88bf-a85fee6fac93,dc1a5f96-ff64-fb41-253b-12f91f0420b9","e193dc05-a3f2-4693-88bf-a85fee6fac93,dc1a5f96-ff64-fb41-253b-12f91f0420b9",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.0308390022675736,0.0592334494773519,0.1111111111111111,"L5,L5","Universalist,Universalist"
"b94b966a-171c-4454-d9fb-2369dafcc4c0,774a9c40-e631-421b-a5a6-995ec2c6cb47","b94b966a-171c-4454-d9fb-2369dafcc4c0,774a9c40-e631-421b-a5a6-995ec2c6cb47",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.1848958333333333,0.1021919879062736,0.19976771196283385,0.38888888888888884,"L5,L4","Specialized,Focused"
"902deab4-ec41-68ce-d9df-c0c959578176,2488142a-e092-e031-830f-c8ee7971c771","902deab4-ec41-68ce-d9df-c0c959578176,2488142a-e092-e031-830f-c8ee7971c771",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0484375,0.16185941043083893,0.11114982578397205,2.2777777777777777,"L5,L5","Diverse,Balanced"
"77751b3b-e74c-4a7f-ac5d-d041b4ab686e,4fcbed16-9508-4950-8217-a4d4ab2eea0d","77751b3b-e74c-4a7f-ac5d-d041b4ab686e,4fcbed16-9508-4950-8217-a4d4ab2eea0d",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.090625,0.0997732426303854,0.1414634146341463,0.6111111111111112,"L5,L5","Focused,Diverse"
"3aabde79-36dd-df3e-7ef1-644d0a2105aa,304173b9-c7a4-6305-9961-20239db03c87","3aabde79-36dd-df3e-7ef1-644d0a2105aa,304173b9-c7a4-6305-9961-20239db03c87",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.00953079178885625,0.30853365784241354,0.21202243861567224,2.3333333333333335,"L5,L5","Specialized,Focused"
"2e401cb9-ae3a-4c22-8aaf-2c13ba14eb6c,20135206-96eb-8be0-9ac4-670b257e532c","2e401cb9-ae3a-4c22-8aaf-2c13ba14eb6c,20135206-96eb-8be0-9ac4-670b257e532c",1,1.0,1.0,1.0,0.9375,0.46875,0.2727272727272727,0.5113636363636364,0.0679447536590393,0.22077922077922074,0.6666666666666667,"L5,L1","Specialized,Diverse"
"96132265-35bb-fbc1-2b25-e5793a34f241,04e48b72-4daf-985b-4dad-bbc9a53de249","96132265-35bb-fbc1-2b25-e5793a34f241,04e48b72-4daf-985b-4dad-bbc9a53de249",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.03718820861677995,0.0801393728222996,0.16666666666666666,"L5,L5","Universalist,Diverse"
"ebef92fa-c852-dd62-1027-9ac044521e35,6ace4dd8-a418-40d0-b24f-2f63e2f5d83b","ebef92fa-c852-dd62-1027-9ac044521e35,6ace4dd8-a418-40d0-b24f-2f63e2f5d83b",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.009375,0.24888888888888885,0.2257839721254355,1.5555555555555556,"L5,L5","Specialized,Focused"
"54ecd574-45ed-422e-a872-d8d42caee251,542614f1-378b-47ef-a9ab-03eefdbd98d0","54ecd574-45ed-422e-a872-d8d42caee251,542614f1-378b-47ef-a9ab-03eefdbd98d0",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0390625,0.12018140589569155,0.0984320557491289,0.2777777777777778,"L5,L5","Universalist,Balanced"
"cb4724ff-cd9d-4347-b5ab-f395d36ad7ad,768d2036-3245-44c8-9896-aa35948b2355","cb4724ff-cd9d-4347-b5ab-f395d36ad7ad,768d2036-3245-44c8-9896-aa35948b2355",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0208333333333333,0.06439909297052146,0.1655052264808362,0.4444444444444444,"L5,L5","Focused,Focused"
"ff5d7573-bf2d-41ad-a669-999780af96e2,0f9ff984-0a9e-4c86-b5f8-cf220a75a3ca","ff5d7573-bf2d-41ad-a669-999780af96e2,0f9ff984-0a9e-4c86-b5f8-cf220a75a3ca",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0114583333333333,0.13780801209372634,0.11138211382113819,0.6111111111111112,"L5,L5","Diverse,Balanced"
"a2afba9e-c6bb-4c8d-b073-337f5a8eae76,7db3c9dd-8ed7-daf7-b00a-227531fb7df1","a2afba9e-c6bb-4c8d-b073-337f5a8eae76,7db3c9dd-8ed7-daf7-b00a-227531fb7df1",1,1.0,1.0,0.0,0.3125,0.15625,0.2727272727272727,0.0546875,0.10761904761904761,0.1189024390243902,0.7222222222222222,"L5,L5","Diverse,Balanced"
"9ee274c9-5e97-45c4-b321-dd3788e355d0,9689fca1-f747-20f2-79d9-c8f61a0c0a44","9ee274c9-5e97-45c4-b321-dd3788e355d0,9689fca1-f747-20f2-79d9-c8f61a0c0a44",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.046875,0.03718820861677995,0.02613240418118465,0.16666666666666666,"L5,L5","Universalist,Universalist"
"7c3f17b2-e802-40cc-bf02-a91ab97ce593,049a8c43-5220-4b1c-6a84-70ab144f0ab9","7c3f17b2-e802-40cc-bf02-a91ab97ce593,049a8c43-5220-4b1c-6a84-70ab144f0ab9",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.046875,0.06621315192743754,0.1846689895470383,0.16666666666666666,"L5,L5","Specialized,Balanced"
"7a022b34-3698-b018-e73c-c2bae9fdc358,4c2e47a8-03ea-4ef7-b0f7-2d35c9c0990f","7a022b34-3698-b018-e73c-c2bae9fdc358,4c2e47a8-03ea-4ef7-b0f7-2d35c9c0990f",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0347222222222222,0.10783572688334585,0.09097948122338359,2.0555555555555554,"L5,L5","Diverse,Diverse"
"63d87b66-09d5-4ec0-af3c-0297ca03cb25,38e872c6-1718-50e1-6150-a12038568992","63d87b66-09d5-4ec0-af3c-0297ca03cb25,38e872c6-1718-50e1-6150-a12038568992",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0118489583333333,0.2770521541950113,0.06654326364692215,5.111111111111112,"L5,L5","Universalist,Diverse"
"8f8e9fa5-d22e-3037-f6d9-611d9f7db2c3,5aae7cdb-84bf-4f78-97f0-0d4025895275","8f8e9fa5-d22e-3037-f6d9-611d9f7db2c3,5aae7cdb-84bf-4f78-97f0-0d4025895275",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.0308390022675736,0.024390243902439,0.1111111111111111,"L5,L5","Universalist,Universalist"
"3009be7d-1876-4ae2-b483-c5e6f5b9d9a4,04e35b63-7856-0d4e-2fe3-9f60687d0351","3009be7d-1876-4ae2-b483-c5e6f5b9d9a4,04e35b63-7856-0d4e-2fe3-9f60687d0351",1,1.0,1.0,1.0,0.9375,0.46875,0.2727272727272727,0.39062499999999994,0.0359788359788359,0.20209059233449475,0.2777777777777778,"L4,L3","Focused,Focused"
"1dfa9c3e-0120-4936-8efe-6c51ffab1f49,12194a43-5266-968b-bcee-9ce9bca9ae67","1dfa9c3e-0120-4936-8efe-6c51ffab1f49,12194a43-5266-968b-bcee-9ce9bca9ae67",1,1.0,1.0,0.0,0.3125,0.15625,0.2727272727272727,0.1706730769230769,0.1608930751787894,0.24015009380863034,0.7777777777777778,"L5,L4","Specialized,Specialized"
"fb748500-cbae-4608-b7a3-eacb233bc846,4373a41c-f984-ce42-3a0a-68e41362d1da","fb748500-cbae-4608-b7a3-eacb233bc846,4373a41c-f984-ce42-3a0a-68e41362d1da",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.07421875,0.1265306122448979,0.1376306620209059,0.6666666666666666,"L5,L5","Focused,Diverse"
"dcf0cb2a-ebd3-4828-8900-39656550c822,21fb3369-6d58-418e-b680-10ea4b231ee5","dcf0cb2a-ebd3-4828-8900-39656550c822,21fb3369-6d58-418e-b680-10ea4b231ee5",1,1.0,1.0,1.0,0.9375,0.46875,0.2727272727272727,0.546875,0.051095993953136756,0.2979094076655052,0.38888888888888884,"L5,L1","Specialized,Specialized"
"fdc15fe6-bb6c-afe4-9bd2-2d6ec6a5ab55,961bcdba-7d88-43d5-9c8a-01cd8182aaa7","fdc15fe6-bb6c-afe4-9bd2-2d6ec6a5ab55,961bcdba-7d88-43d5-9c8a-01cd8182aaa7",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.0308390022675736,0.1080139372822299,0.1111111111111111,"L5,L5","Diverse,Diverse"
"f95a7101-c5a7-1d44-09d2-49e1a54843a5,b8d54c20-c259-8836-4ef8-3eef99b79f03","f95a7101-c5a7-1d44-09d2-49e1a54843a5,b8d54c20-c259-8836-4ef8-3eef99b79f03",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.056235827664399,0.1707317073170731,0.1111111111111111,"L5,L5","Focused,Focused"
"75e78e5a-16ff-b799-d2c2-5ef17ef07023,1a126e13-05bc-3bce-ef8b-de42c1dd0719","75e78e5a-16ff-b799-d2c2-5ef17ef07023,1a126e13-05bc-3bce-ef8b-de42c1dd0719",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.013020833333333301,0.21300075585789863,0.166376306620209,0.8333333333333333,"L5,L5","Specialized,Diverse"
"951ed0f7-610b-483c-a5f9-f96ac6c1b5b2,3e6db708-341e-4d43-be95-4a17976615d4","951ed0f7-610b-483c-a5f9-f96ac6c1b5b2,3e6db708-341e-4d43-be95-4a17976615d4",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.0308390022675736,0.1080139372822299,0.1111111111111111,"L5,L5","Diverse,Diverse"
"dd8d3b14-84e6-4819-910a-070d9336fd2d,cbf72215-6a1c-f4ef-e17f-0a958eca3dac","dd8d3b14-84e6-4819-910a-070d9336fd2d,cbf72215-6a1c-f4ef-e17f-0a958eca3dac",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.08035714285714285,0.0780045351473922,0.16774514683922345,0.4444444444444444,"L5,L5","Focused,Focused"
"b577b6df-90f6-44f1-a001-b9283e38a4d4,57484c0b-1cf1-46cb-8c32-5d44efe43b5b","b577b6df-90f6-44f1-a001-b9283e38a4d4,57484c0b-1cf1-46cb-8c32-5d44efe43b5b",1,1.0,1.0,1.0,0.9375,0.46875,0.2727272727272727,0.09126984126984125,0.13215275528200693,0.13290194126431054,1.2777777777777777,"L5,L5","Focused,Diverse"
"58b978dc-5366-3473-be35-87bbb0f94d81,0d318a19-348d-4af1-aeff-65e9e6e14d2f","58b978dc-5366-3473-be35-87bbb0f94d81,0d318a19-348d-4af1-aeff-65e9e6e14d2f",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0375,0.1574603174603174,0.0901277584204413,0.6111111111111112,"L5,L5","Diverse,Balanced"
