investor_a,investor_b,total_coinvestments
931f7202-91fd-ab26-c07d-06518289ef06,b4ac760f-fcab-6a2c-b902-b5d66d37a4bf,1
3197a4e9-38e5-47de-bba4-7b3499b71b5d,fb8d57c4-eb30-d2e3-ac69-b62cc0f27bbf,1
30d221aa-11e7-8379-b996-230477674c69,a72d95c5-7286-47cc-9fbe-cb00bd7274f5,1
83a32e0c-9175-00b2-cf85-6f3e185dce37,ba5c8134-b4f3-4414-ac35-58562c5f20aa,1
31fc3998-a1f1-2e5b-6358-f8d068fa9f71,83a32e0c-9175-00b2-cf85-6f3e185dce37,1
a400a39f-355b-44c9-9e27-d7ed56345194,fcf60dd3-81fb-bcaf-4454-1b1421fd6496,1
2ff5e64e-610e-4791-96c9-7c235cd63e69,fcf60dd3-81fb-bcaf-4454-1b1421fd6496,1
34471979-64a6-4205-b858-b8688c5eb59d,5a55351f-7bb0-aa63-3b02-8e2113e53df3,1
51a7b014-3771-e675-925f-b7d1c9a07ddb,9873db17-9579-4f05-8cab-257f2d4ef098,1
51a7b014-3771-e675-925f-b7d1c9a07ddb,c9c67cf3-3e21-9250-b172-fde41ac7e63a,1
2f9932ce-ab49-c65a-0b21-63e59ec07be1,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
1a121ab6-b3ed-49b9-9894-83684bacba74,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
16867b96-f8a2-4a73-9cc0-676c3ddd786f,60fd03db-a3c5-4117-8c51-7240138c37bf,1
60fd03db-a3c5-4117-8c51-7240138c37bf,8c3d1a40-c789-4014-a881-8c70fb30b177,1
5175b351-6e7d-8fb8-a485-f30230a58dca,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
46eea528-805c-4470-9e4e-aea4199b1eb2,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
27814774-c10a-d811-cb78-7aec550e21cc,6feb8239-064a-44e2-8dd0-d780287d731e,1
8dd8ccf6-91d5-47e7-aa7a-38dd039a5861,9cb3e8d7-9421-4114-90b0-5e9cbbcbc8b6,1
1e83d39a-0fb3-4728-856c-f0e85554727d,f8777224-93d4-4c0e-a18d-b170937b793c,1
