investor_name,investment_count,25m_count,100m_count,250m_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,weighted_success_rate
Bull Hill Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Walter Driver,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Barbara Clarke,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Krew Capital,3,0,0,0,2021,7,7,0.3333333333333333,0.0,0.0,0.0,0.2727272727272727,0.1103368176538908,0.0574452003023431,0.0
Balius Partners,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Act One Ventures,1,0,0,0,2021,1,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0034843205574912,0.0126984126984126,0.0
Agilent Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Dinesh Chahlia,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Conner Strong & Buckelew,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Brian Mac Mahon,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Todd Parker,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
P5 Health Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Javelin Venture Partners,1,0,0,0,2021,5,6,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1707317073170731,0.1287981859410431,0.0
Reza Sanaie,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Ten X Labs,1,0,0,0,2021,4,7,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.1759637188208616,0.0
Anthony Tiffith,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Chris Urmson,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jack Sock,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Thomas Thuillier,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
HTC,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
TJ Mahony,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Hampstead Park Capital Management,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Mattias Ljungman,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Shaun Ritchie,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Adam Miller,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Gayarti Narayan,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Simon Lorenz,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
OnDeck Venture,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Ron Drabkin,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Madewell Companies,1,0,0,0,2021,3,6,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0592334494773519,0.1287981859410431,0.0
Timechain,5,0,0,0,2021,15,15,0.5555555555555556,0.0,0.0,0.0,0.2727272727272727,0.3101045296167247,0.1614512471655328,0.0
Yield Yak,1,0,0,0,2021,3,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0592334494773519,0.0126984126984126,0.0
Matt Mochary,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
VC3 DAO,3,0,0,0,2021,6,7,0.3333333333333333,0.0,0.0,0.0,0.2727272727272727,0.0801393728222996,0.0574452003023431,0.0
Kalei Ventures,1,0,0,0,2021,4,1,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.001814058956916,0.0
Hrachya Aghajanyan,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Grant Park Ventures,1,0,0,0,2021,4,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.0126984126984126,0.0
Tubergen Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Clarence Chio,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Operators Fund,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Reebok International,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
LG Electronics,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Yohan Allender,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Essential Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Ivan Brockman,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
SYN Ventures,4,1,0,0,2021,7,8,0.4444444444444444,0.25,0.0,0.0,0.2727272727272727,0.0818815331010452,0.056235827664399,0.07
