pair,Unnamed: 0,investment_count,25m_count,100m_count,250m_count,25m_rate,100m_rate,250m_rate,weighted_success_rate,average_experience,average_success_rate,average_specific_diversity,average_broad_diversity
"f707cff6-4b90-4294-80d6-3503869f8691,bb0955c3-af0d-2d01-cd4f-985a93252432","f707cff6-4b90-4294-80d6-3503869f8691,bb0955c3-af0d-2d01-cd4f-985a93252432",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.1873333333333333,0.230506424792139,0.197444831591173
"68c46b8b-beaf-43c2-a979-49021b79f735,21808584-00a8-43c1-ba70-a25f556461ee","68c46b8b-beaf-43c2-a979-49021b79f735,21808584-00a8-43c1-ba70-a25f556461ee",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.0308390022675736,0.1080139372822299
"e8487396-f60c-25f1-2bb5-bfcb4e0f4b66,89bff19e-52b2-42a0-aea4-022063e622f6","e8487396-f60c-25f1-2bb5-bfcb4e0f4b66,89bff19e-52b2-42a0-aea4-022063e622f6",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.265340909090909,0.2997320140177282,0.1622188786822933
"ee9954ca-7737-deb0-f0be-ef196eed333a,a1d935af-1d49-55ef-2bf6-cbd1bf82af6d","ee9954ca-7737-deb0-f0be-ef196eed333a,a1d935af-1d49-55ef-2bf6-cbd1bf82af6d",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.056235827664399,0.1707317073170731
"cf9f3470-70db-4551-77f6-5b498a980270,09b5465c-3b84-35d4-1e70-58d937be41c0","cf9f3470-70db-4551-77f6-5b498a980270,09b5465c-3b84-35d4-1e70-58d937be41c0",1,1,1,0,1.0,1.0,0.0,0.5800000000000001,0.2727272727272727,0.435,0.1215419501133786,0.1463414634146341
"da25de39-86d0-4504-998a-fab6f715cf2a,89bff19e-52b2-42a0-aea4-022063e622f6","da25de39-86d0-4504-998a-fab6f715cf2a,89bff19e-52b2-42a0-aea4-022063e622f6",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.315,0.056386999244142,0.1823461091753774
"451cfd02-c8f3-46e0-82e2-93888ab7dd3b,11cd5d65-3aa2-4303-adab-6d5d647c71d3","451cfd02-c8f3-46e0-82e2-93888ab7dd3b,11cd5d65-3aa2-4303-adab-6d5d647c71d3",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.073,0.0934542705971277,0.1126016260162601
"f2633060-f170-4609-ba23-d0d8c54312e7,6af8fefa-4288-04e0-91ba-b0f4c6227e7f","f2633060-f170-4609-ba23-d0d8c54312e7,6af8fefa-4288-04e0-91ba-b0f4c6227e7f",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.188,0.0841723356009069,0.0754936120789779
"a1d935af-1d49-55ef-2bf6-cbd1bf82af6d,897604ea-925e-41c6-a0a1-aeaca56b160f","a1d935af-1d49-55ef-2bf6-cbd1bf82af6d,897604ea-925e-41c6-a0a1-aeaca56b160f",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.056235827664399,0.1707317073170731
"e5cdbbd1-7b86-486e-835f-dd699e63c9c0,3fb216b9-cf8c-4af3-b370-671ed0ca1f42","e5cdbbd1-7b86-486e-835f-dd699e63c9c0,3fb216b9-cf8c-4af3-b370-671ed0ca1f42",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.575625,0.0798185941043083,0.2162456445993031
