founded_year,org_uuid,name_x,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_names,investor_uuids,name_y
2022,3d23ab5d-f4b9-4e8a-bd6a-094fd0de2b93,LeakSignal,,,1600000.0,0,0,0,"Blu Venture Investors, Cyber Mentor Fund, Shasta Ventures, TFX Capital, Tokyo Black, Vela Partners","98ca74ba-00a3-a00e-ffac-09c5304af6ae, 54ca4754-80db-4f0f-a050-33687f832e0c, db9a455c-d51e-350a-d402-87bd0b1d46a5, dd3d0f75-7996-4f84-985d-3ba6bd362d71, 7490c6a7-aafa-4efe-861a-e7485d9bf600, 9d4021da-c5ad-3368-dd0f-1e23469062b8",LeakSignal
2022,8b55ac1c-f48d-4cea-992d-771d09dd80e3,Kusari,,,8075000.0,0,0,0,"Glasswing Ventures, J2 Ventures, Unusual Ventures","71821b74-2d23-90f8-a071-b874a0e11982, de497539-7934-4715-82f0-b1fc4b757518, adc3106c-d982-41b9-92a5-2e5e4b6e8e7f",Kusari
2022,5c09c191-4517-4b1a-a53e-d18f5434b9c4,Aikido Technologies,,,4000000.0,0,0,0,"Anthropocene Ventures, Azolla Ventures, Cisco Foundation, Propeller, Sabancı Climate Ventures","7af62f83-e4b6-4717-9f3b-f97ceee51d4d, d90aa6b4-a9cc-4cf4-8d59-c16c1117b8a8, 8cd498d0-e82a-4b89-a79e-af9dcff891c1, acb1b099-3bb2-4054-9b4c-48582c0f0819, 731e0ae6-552c-4d63-8a80-3fc837b60cc9",Aikido Technologies
2022,b948f8a5-ca7c-420d-a181-482e31148b96,Astrica,,,,0,0,0,Momentum Equity Partners,2d1a5154-cde2-86fa-c0de-6b17e0d8c84d,Astrica
2022,ea93b97f-9009-43a9-b0f9-58cb6dbdb76e,Athena Intelligence,,,,0,0,0,Village Global,dc7fc343-2884-5489-8127-9e3ed9f88349,Athena Intelligence
2022,97b9c24c-ebc6-412e-a7a8-0d44ecdbfe70,Serac Ventures,,,,0,0,0,Daraja Capital,f980a6e3-d5a0-8c63-deac-d5e36fd70311,Serac Ventures
2022,1782b5b7-caae-4ea6-8452-30deb2455e9e,Shepherdly,,,500000.0,0,0,0,Accomplice,1316d39d-2b00-a0d6-8982-d1bda3787fcc,Shepherdly
2022,cde16434-2ba8-43d9-9837-c6a6190ae7fc,Live Aware Labs,,,4800000.0,0,0,0,"A16Z GAMES Speedrun, Brendan Mulligan, Brian Vesce, Chacko Sonny, Curt Bererton, Eden Chen, Lifelike Capital, Luis Villegas, Michael Evans, Patrick Wyatt, Seth Sivak, Todd Hooper, Transcend Fund","18054086-14aa-4898-8777-2b17123e6518, a153b395-e76a-43ce-9f24-2d9ec61368bc, 05e87f0d-7fe9-48a0-8ada-08f7fb1119a6, d284c7d8-e2e8-41c6-a786-99a910b7e203, 0feb3135-478a-20cb-b71d-3224136c15b8, 02ae8399-8beb-f458-145a-74bc1a46db47, c6a0e716-f89a-4286-b327-9a43f953a191, 83f05bc2-c611-4179-ac80-3e33a26ffc1b, 74b2a26f-848d-4f92-a115-74a38be3b74b, db9667cc-e694-9f37-a563-e5bdcf3f7abf, 8cf50d26-f69a-1097-0727-b792db7f0bce, 18ad99f1-50a7-ad43-aece-3f0901a0dd7a, b6474bd8-cd07-4999-b46b-e63b5938fe5e",Live Aware Labs
2022,efe0ea28-b1ad-4d9f-8b41-d4d7ce098de2,sixc,,,125000.0,0,0,0,Neo,f6b44cee-4bf4-6fbc-8010-8e63b1f89c31,sixc
2022,a647fde7-a107-4b74-8396-58006e3cfaa9,Beagle Network,,,1000000.0,0,0,0,"Chicago Booth Angels, Koc GSYF VC, StartupIst VC","a1335e35-ed40-c044-1f09-4602755fbefd, 95a404b3-528c-4c37-95ac-d5559c98dbc2, fa546139-08ed-4d2f-a1d9-8812e13bdc76",Beagle Network
