,founded_year,org_uuid,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_uuids
37190,2024,9fb664c7-9e2f-48e1-9aba-3615bdebb561,"Aerospace,Artificial Intelligence (AI),Automotive,Health Care,Military","Artificial Intelligence (AI),Data and Analytics,Government and Military,Health Care,Information Technology,Science and Engineering,Software,Transportation",130000.0,0,0,0,52fc3a7f-e12c-4318-835d-e6312523a272
36766,2023,1107baf1-8e85-4bc6-b268-1556d0c4c776,"Biopharma,Biotechnology,Medical,Wellness","Biotechnology,Health Care,Science and Engineering",7640000.0,0,0,0,"bf29034c-8df4-6bab-2582-3a4b6f011f5b, 98daa0d0-5e3b-66ca-d0f7-96114b2a8318, 5a3eaf2d-ff57-de07-3fd3-a7cc049a3716, ec622220-3445-fcc4-5d88-73a2e54ce808, ba62a9c4-35bd-37b6-eaea-2af3c4852a0c, 735a53c6-a7ba-2434-d97d-b788536da89d, 05d96ffe-1fe0-f985-5927-b052d75384b4, a0716ad3-e554-e415-8291-9adebf318e65, b2417c8a-ae79-6eb6-8731-54d16e4f820f, b268f558-589d-4626-856f-f21f1ff4f7bb, 088326e0-1865-f565-b23a-e754d6e48a4e, 9d11d829-645f-4ebe-bbd1-e84d1a0ddaf0, 4bbb1d63-8811-af76-a6ce-64387c26fbfb, b78b6148-398a-a7c9-7bd6-3fe1c155e86c, d366ffd9-f28e-4e37-9fa1-0f107f4b0ae9, ee042a5b-cf04-b7ce-3048-72c0ec1f82a1, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e, bb20abff-cc33-1e9b-05cf-fd0b0e12ae21, dff82e10-19da-937f-324c-6ddd07718519"
36953,2024,fb7c6d78-ba69-418d-b112-f0e8c8b5aecb,"Artificial Intelligence (AI),Generative AI","Artificial Intelligence (AI),Data and Analytics,Science and Engineering,Software",1050000.0,0,0,0,"c8c2e993-2e39-c992-aae7-f00f78b48e90, 8718fab3-f552-4247-a929-f1835100d9d1, bd435d4f-ea9b-4730-b275-e56fa0da70f2, 80f14e64-81f8-4e23-50bf-0976525a76d7"
36173,2023,e142443a-52c1-4027-a5a8-e5f19ece944a,"Business Development,Consulting,Information Technology,Innovation Management,Software","Information Technology,Professional Services,Software",150000.0,0,0,0,395d9904-84cf-43e5-ba54-409ddb309ed8
34839,2022,49d209e7-1dc1-4cf0-9cb1-c7994c7f60c4,"Cyber Security,Software","Information Technology,Privacy and Security,Software",3000000.0,0,0,0,"54477d6f-22f6-dd66-4a81-cb7b6e8bfdce, ad4a408d-5a9b-30c2-b2fc-36412538ff47, 4e93420a-7238-445e-8006-709e1214890d, 1cff6b76-b394-628e-ae54-60e6d9f3c957, d5df3873-7871-c608-0284-c74d0b555ccd, 5653a435-416b-17c9-31ed-455d981c1df3, 8fd63385-5a80-0a83-b0b5-540ebc159b6a, 79a3330c-a103-e1cc-d076-7cc269668192"
32540,2022,057b73a2-2d7e-470f-a219-a090d279420b,"Building Maintenance,Home Services,Property Management",Real Estate,3530000.0,0,0,0,"fd6a8b25-44f6-4998-a2ff-cd7c1b7fa1ae, 20242b76-1950-6156-2811-f7171fc99de8, a807f5df-3c9d-4215-8f86-231ffacef0c0, 2b8999f8-3d0d-dbaa-8f19-7cac7041733a, 472b32fc-b3a1-4be4-8996-386bf34331a8"
35730,2023,9416db6c-0f0f-486c-8242-9253e3275c55,"B2C,Consumer,Content Creators,Mobile Apps,Tourism,Travel,Web3","Apps,Blockchain and Cryptocurrency,Internet Services,Media and Entertainment,Mobile,Other,Software,Travel and Tourism",250000.0,0,0,0,"f397e4e4-666e-4011-8bfc-74590a1d20a7, 9985cb43-c242-4d7d-bc9c-afe14eab1574, 92bc3a7c-87ae-4a35-90fa-2188e57e9936, 9386e62e-e1e1-be03-492a-0e3660e66120"
33150,2022,6d346ee8-df85-4325-86c7-8320442ecd25,"Business Intelligence,Web3","Blockchain and Cryptocurrency,Data and Analytics,Internet Services",3000000.0,0,0,0,"0ebad0f3-a619-4c15-affa-2729d05c30ff, c5eaf51b-86bf-4de3-ba68-7eb8edfc6642, e063530b-0a49-4b18-a909-b78613c38696, 95603976-0362-438e-b9dd-2c0b5d8ee58c, 574b1d0e-ed14-4d20-9b17-51fcea109fd9, 07ac16d9-0200-469b-8f95-098e43120408, 873224a4-dc7f-4abe-b52f-928ab2f49613, 18a27093-efaf-4615-a633-4619c0e20a0f, 5b153ea3-7a42-a598-97ca-5c673073397f, 43caad2b-885e-470c-aa35-ccc4e714c700, 248fb40a-4df3-431d-94b5-62e3fc1625dd"
36139,2023,101a8936-f432-4551-a53a-f20a5dc20f0f,"Artificial Intelligence (AI),Health Care,Health Insurance,Insurance,Software","Artificial Intelligence (AI),Data and Analytics,Financial Services,Health Care,Science and Engineering,Software",,0,0,0,"9d11d829-645f-4ebe-bbd1-e84d1a0ddaf0, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e"
33036,2022,34b54171-9265-45b9-9f1f-529060a31490,"Apps,Developer Platform,Information Technology,Software","Apps,Information Technology,Software",53000000.0,0,0,1,"8b20d198-7501-20cf-fff0-e89cce98311b, f38e3dae-3be2-cde6-a9ce-61e0689bef72, 9443f9ec-f21b-6011-51f3-a0504da8d760, 185e18e9-5824-ef0f-cba0-664a00926ccd, 4b3b3bb1-6d44-3282-ad55-0eadf4a0a52f, e0135367-203e-658b-688c-5cbcb332a091, 2259b9b4-bfa0-340f-5bff-817c4baad656, ac3cacf9-284a-4313-bd61-8a3defa858c5, b7b6bf66-95a5-f779-6e45-2e0e04fbe1a4, d5df3873-7871-c608-0284-c74d0b555ccd, e8b21bd7-927d-4add-ba72-8501d4ffe2dd, 1c65ddc2-fdbe-4610-a35d-7db3e8b72bd8, 5c60282d-f248-6429-1883-8f0441e95809, adc3106c-d982-41b9-92a5-2e5e4b6e8e7f"
34583,2022,3bf7baae-81b2-4d83-808d-cccc0c2086ac,"Brewing,Carbon Capture","Food and Beverage,Sustainability",800000.0,0,0,0,40ae46cd-021a-4407-9d75-b4bc97eb1fd1
